Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10uF","C_0805_2012Metric",196.370000,-111.520000,0.000000,top
"C2","22u","C_0805_2012Metric",202.820000,-117.070000,90.000000,top
"C3","1uF","C_0402_1005Metric",205.500000,-107.520000,-90.000000,top
"C4","22uF","C_0402_1005Metric",205.750000,-82.520000,90.000000,top
"C5",".1uF","C_0402_1005Metric",204.750000,-82.500000,90.000000,top
"C6",".1uF","C_0201_0603Metric",198.130000,-84.175000,0.000000,top
"C7",".1uF","C_0201_0603Metric",194.750000,-85.500000,90.000000,top
"C8","5uF","C_0201_0603Metric",194.750000,-83.675000,90.000000,top
"D1","LED","LED_0603_1608Metric",202.820000,-113.520000,-90.000000,top
"D2","LED","LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder",214.000000,-105.225000,90.000000,top
"J1","USB_B_Mini","USB_Mini-B_Lumberg_2486_01_Horizontal",198.825000,-102.500000,-90.000000,top
"J2","Conn_01x02_Socket","JST_EH_S2B-EH_1x02_P2.50mm_Horizontal",199.750000,-93.500000,90.000000,top
"R1","1k5","R_0402_1005Metric",201.310000,-111.020000,180.000000,top
"R2","10k","R_0402_1005Metric",204.500000,-107.540000,90.000000,top
"R3","10k","R_0402_1005Metric",223.750000,-108.000000,90.000000,top
"R4","3k","R_0201_0603Metric",212.655000,-101.250000,180.000000,top
"R5","3k","R_0201_0603Metric",214.595000,-101.250000,0.000000,top
"R6","4k7","R_0402_1005Metric",213.697500,-112.550000,180.000000,top
"R7","4k7","R_0402_1005Metric",216.687500,-109.290000,-90.000000,top
"R8","270k","R_0201_0603Metric",198.050000,-81.470003,0.000000,top
"R9","100k","R_0201_0603Metric",199.505000,-81.480000,0.000000,top
"R10","200","R_0201_0603Metric",201.750000,-83.625003,90.000000,top
"SW1","SW_Push","SW_SPST_B3U-1000P-B",208.550000,-105.250000,180.000000,top
"SW2","SW_Push","SW_SPST_B3U-1000P-B",220.000000,-105.250000,180.000000,top
"U1","AMS1117-3.3","SOT-223-3_TabPin2",197.820000,-117.215000,-90.000000,top
"U2","ESP32-S3-WROOM-1","ESP32-S3-WROOM-1",216.100000,-87.140000,0.000000,top
"U3","BME280","Bosch_LGA-8_3x3mm_P0.8mm_ClockwisePinNumbering",213.812500,-110.000000,90.000000,top
"U4","TPS2113APW","PW0008A_L",199.000000,-86.270000,180.000000,top
